x,y,z,nx,ny,nz
-4.74821 , 1.56912 , 3.06248 , 0.516439,0.477784,-0.710643
-4.60971 , 1.55299 , 3.11478 , -0.663889,0.414625,0.622365
-4.48953 , 1.54005 , 3.17065 , 0.240654,-0.924009,-0.297141
-6.44052 , 2.05054 , 4.1518 , -0.0500453,-0.729169,0.682501
-6.55002 , 2.10263 , 4.35318 , 0.684482,-0.72216,-0.0998501
-4.40757 , 1.57125 , 3.45454 , -0.563814,0.82588,0.00603979
-6.49295 , 2.1379 , 4.63707 , -0.15692,-0.911667,0.379788
-5.79935 , 1.97766 , 4.42479 , -0.859463,-0.0156872,0.510957
-6.36488 , 2.15409 , 4.88852 , -0.105936,-0.949351,0.295822
-6.68859 , 2.26954 , 5.24074 , -0.821478,-0.0509287,0.567961
-4.2333 , 1.61437 , 3.92146 , 0.747978,-0.635314,-0.192105
-4.08154 , 1.58967 , 3.94317 , -0.155983,0.570213,0.806552
-3.29725 , 1.38371 , 3.54281 , 0.269366,0.961912,0.0465567
-3.42004 , 1.43525 , 3.72565 , 0.468996,0.748423,0.468942
-3.79833 , 1.56349 , 4.0997 , -0.107864,0.340076,0.934192
-2.97646 , 1.33698 , 3.60964 , -0.697255,-0.500412,0.513249
-3.37631 , 1.47386 , 4.01478 , -0.479822,-0.675067,-0.560406
-2.94992 , 1.36086 , 3.78693 , -0.913399,-0.128346,0.386302
-2.95951 , 1.37995 , 3.89795 , -0.960344,0.25931,0.102457
-2.98867 , 1.40601 , 4.02927 , 0.183539,0.676847,0.712876
-3.88683 , 1.71387 , 4.93696 , -0.741774,-0.617273,0.262193
-5.88941 , 2.3944 , 6.92472 , -0.26106,0.397609,0.879634
-3.01935 , 1.47174 , 4.40079 , -0.846256,-0.131633,-0.51626
-2.95829 , 1.47071 , 4.46375 , -0.809746,0.462272,-0.361409
-2.96474 , 1.49222 , 4.59522 , -0.962362,-0.0909194,0.256113
-2.8678 , 1.47895 , 4.62178 , -0.711791,-0.646186,0.275313
-2.94044 , 1.52609 , 4.8332 , -0.562183,-0.796607,0.222187
-2.84046 , 1.51176 , 4.85827 , 0.827306,0.399436,-0.394988
-2.77777 , 1.51123 , 4.92556 , 0.614805,0.702632,-0.358222
-2.7814 , 1.53676 , 5.07473 , -0.638481,-0.651202,0.410216
-2.6668 , 1.51681 , 5.08007 , -0.540736,-0.771499,0.335253
-2.67153 , 1.54233 , 5.238 , -0.636418,-0.638298,0.433067
-2.62986 , 1.55154 , 5.34233 , -0.636418,-0.638298,0.433067
-1.22329 , 1.00191 , 3.50149 , 0.0967838,-0.0447865,0.994297
-1.16897 , 0.994694 , 3.51642 , -0.407007,0.121583,0.905297
-1.08714 , 0.976123 , 3.48919 , 0.553947,0.0675277,-0.829809
-1.08458 , 0.989959 , 3.58432 , -0.723882,-0.279676,0.630695
-1.06936 , 1.00039 , 3.66296 , -0.708364,-0.351418,0.612149
-1.17366 , 1.06546 , 3.95339 , -0.704955,-0.434662,0.560453
-0.91493 , 0.963352 , 3.60811 , 0.764246,-0.268042,0.586584
-0.868481 , 0.959283 , 3.63387 , 0.989745,-0.0592647,0.129968
-1.0259 , 1.05602 , 4.05914 , 0.450743,-0.309392,0.837321
-0.946432 , 1.03747 , 4.0343 , 0.575444,-0.302012,0.760035
-0.967384 , 1.07072 , 4.22022 , 0.785982,0.510232,-0.349136
-2.3172 , 1.83085 , 7.43787 , -0.256291,-0.531859,-0.807119
-2.17719 , 1.80424 , 7.42625 , 0.0313578,0.435129,0.899822
-1.01736 , 1.18146 , 4.8516 , 0.604669,0.443098,-0.661846
-0.960629 , 1.17995 , 4.90705 , 0.5075,0.754153,0.416769
-0.866374 , 1.1553 , 4.86033 , 0.000149641,0.102888,0.994693
-0.74221 , 1.10988 , 4.71876 , -0.156969,-0.862646,0.480835
-0.635691 , 1.07378 , 4.6112 , 0.21494,-0.482436,0.84915
-0.519916 , 1.02824 , 4.45393 , -0.974897,0.159471,0.155388
-0.514845 , 1.06155 , 4.67127 , -0.0558169,-0.959745,0.27527
-0.388987 , 1.00405 , 4.45321 , -0.508102,-0.279123,0.814815
-0.793681 , 1.38644 , 6.3861 , 0.381336,-0.902343,-0.200898
-0.742632 , 1.41227 , 6.60209 , -0.241912,0.830534,0.50169
-0.358401 , 1.12316 , 5.23137 , -0.267022,0.458404,0.847682
-0.285385 , 1.11267 , 5.24781 , -0.272082,0.543048,0.794399
-0.21757 , 1.10917 , 5.30186 , -0.255001,-0.15462,0.954499
-0.0862824 , 1.02615 , 4.93682 , -0.194531,0.658782,-0.726749
-0.212479 , 1.28542 , 6.41121 , -0.639639,-0.15021,-0.753856
-0.137581 , 1.30113 , 6.59168 , -0.372291,0.281455,-0.884411
-0.048097 , 1.30001 , 6.68309 , -0.853459,-0.496822,0.157401
-3.43464 , 0.74495 , -1.39414 , -0.046603,0.162806,0.985557
-3.60167 , 0.778452 , -1.40182 , -0.0529197,0.163832,0.985068
-3.80574 , 0.818061 , -1.42432 , -0.0856848,0.180198,0.979891
-4.04506 , 0.863784 , -1.45947 , -0.0772477,0.177641,0.981059
-4.28736 , 0.909793 , -1.48668 , -0.0731044,0.184944,0.980026
-4.54043 , 0.96013 , -1.51094 , -0.0650408,0.189826,0.979661
-4.82196 , 1.01447 , -1.53976 , -0.0804394,0.193191,0.977858
-5.17795 , 1.08219 , -1.59309 , 0.102991,-0.180755,-0.978121
-5.56373 , 1.15519 , -1.64644 , -0.078779,0.168378,0.98257
-5.93464 , 1.22773 , -1.67915 , 0.0716674,-0.163173,-0.983991
-6.39976 , 1.31739 , -1.73682 , 0.0874837,-0.167881,-0.981918
-6.91505 , 1.41694 , -1.79667 , 0.0831242,-0.162994,-0.983119
-7.51686 , 1.53314 , -1.86949 , 0.08995,-0.163877,-0.982371
-8.24413 , 1.67181 , -1.96363 , 0.0903297,-0.155201,-0.983745
-9.07043 , 1.83068 , -2.06353 , 0.0864151,-0.157092,-0.983796
-9.98657 , 2.00913 , -2.16119 , -0.0718534,0.154967,0.985303
-11.0884 , 2.22307 , -2.27915 , -0.0788311,0.156867,0.984469
-12.4815 , 2.49281 , -2.43574 , -0.0770106,0.152212,0.985343
-14.2079 , 2.82779 , -2.62541 , -0.0788707,0.141487,0.986793
-16.3829 , 3.25154 , -2.85735 , -0.0776827,0.141744,0.986851
-36.4854 , 7.19219 , -4.82105 , -0.0214249,0.0236366,0.999491
-41.7682 , 8.29641 , -4.90339 , 0.159231,0.103443,0.981807
-12.6156 , 3.29045 , 2.44613 , -0.115631,0.252603,0.960636
-12.0312 , 3.19297 , 2.60872 , -0.14068,-0.0254555,0.989728
-11.7635 , 3.16572 , 2.79722 , -0.00145616,-0.257265,0.96634
-9.57116 , 2.68134 , 2.6663 , -0.289771,-0.6084,0.738838
-9.61213 , 2.72079 , 2.85827 , -0.318103,-0.302559,0.898481
-9.47801 , 2.71761 , 3.01843 , -0.318103,-0.30256,0.898481
-8.58143 , 2.52616 , 3.00974 , -0.366355,-0.190394,0.910788
-4.07549 , 1.43347 , 2.11781 , -0.521813,0.470461,0.711602
-3.93086 , 1.41114 , 2.16775 , 0.986091,-0.15107,0.069297
-3.85267 , 1.40385 , 2.23114 , 0.986091,-0.15107,0.0692968
-3.99656 , 1.45418 , 2.35759 , -0.875862,0.114534,-0.468773
-4.30399 , 1.54858 , 2.54166 , -0.375072,0.182434,-0.908867
-4.16437 , 1.52617 , 2.59032 , 0.109109,0.773399,-0.624459
-7.45324 , 2.41949 , 3.84378 , -0.469844,-0.809011,0.353197
-4.7287 , 1.70885 , 2.9893 , 0.564844,-0.119418,-0.816511
-4.6913 , 1.71572 , 3.08233 , -0.387574,0.19624,0.900709
-4.54456 , 1.69245 , 3.13028 , 0.584984,-0.522826,-0.620037
-3.70543 , 1.47398 , 2.87199 , 0.450132,-0.836771,-0.311762
-4.28791 , 1.65345 , 3.22872 , 0.347924,-0.937401,0.0151314
-3.86263 , 1.54754 , 3.13004 , 0.34709,-0.881167,0.321051
-4.32438 , 1.69774 , 3.45951 , 0.709226,-0.704981,-0.000997805
-11.2216 , 3.74278 , 7.18536 , 0.271154,-0.613541,0.741649
-3.91012 , 1.60872 , 3.45445 , 0.586744,0.727492,-0.355648
-11.0474 , 3.77616 , 7.63556 , -0.271154,0.613541,-0.741649
-4.15957 , 1.71885 , 3.81403 , 0.171461,0.4145,0.893751
-4.07549 , 1.71005 , 3.87717 , 0.171461,0.4145,0.893751
-3.52762 , 1.55745 , 3.63905 , 0.385138,0.90467,-0.182321
-3.18259 , 1.46445 , 3.51174 , 0.269366,0.961912,0.0465567
-3.20842 , 1.48755 , 3.62774 , 0.269366,0.961912,0.0465566
-3.68512 , 1.65944 , 4.07434 , 0.294279,0.239067,0.925336
-4.52606 , 1.95502 , 4.82398 , -0.831297,-0.207944,0.515465
-5.65375 , 2.35461 , 5.84896 , -0.872297,0.411901,-0.263505
-2.98219 , 1.47738 , 3.86429 , -0.913399,-0.128346,0.386302
-2.92304 , 1.47338 , 3.92078 , -0.972601,0.0656136,0.22303
-3.86928 , 1.82042 , 4.85346 , -0.741774,-0.617273,0.262193
-3.97954 , 1.88192 , 5.09428 , -0.700281,-0.652028,0.290631
-3.94098 , 1.89177 , 5.2081 , 0.676207,0.535365,-0.506092
-2.83283 , 1.51144 , 4.28309 , 0.436543,-0.197844,0.877661
-2.74678 , 1.49897 , 4.31565 , 0.254644,0.750098,0.610336
-2.80795 , 1.54085 , 4.50022 , -0.49046,0.866374,-0.0940493
-3.10023 , 1.67279 , 4.94419 , -0.436417,-0.774509,0.457903
-2.86964 , 1.6053 , 4.8285 , 0.632943,0.731455,-0.253684
-2.82716 , 1.61037 , 4.91891 , 0.774421,0.568556,-0.277517
-2.88706 , 1.6576 , 5.13588 , -0.615399,-0.720632,0.319333
-1.28533 , 1.02616 , 3.28078 , 0.385581,-0.258915,-0.885602
-2.69211 , 1.62597 , 5.19609 , -0.636418,-0.638298,0.433067
-2.61818 , 1.61965 , 5.25401 , -0.636418,-0.638298,0.433067
-2.57694 , 1.62685 , 5.35825 , -0.636418,-0.638298,0.433067
-1.18797 , 1.04063 , 3.50237 , -0.0640318,0.295101,-0.953318
-1.15453 , 1.04104 , 3.54938 , 0.144672,0.599221,-0.787404
-1.28165 , 1.11598 , 3.85006 , 0.754308,-0.562103,0.339204
-1.26227 , 1.12408 , 3.93252 , 0.643392,0.0734406,-0.762006
-1.01907 , 1.02683 , 3.63772 , -0.906449,0.395683,-0.147599
-1.02097 , 1.04438 , 3.75048 , -0.104206,0.0245212,0.994253
-0.861855 , 0.982855 , 3.57302 , 0.989745,-0.0592647,0.129968
-1.05391 , 1.10019 , 4.05623 , 0.509055,0.697527,-0.504301
-1.18136 , 1.18959 , 4.45157 , -0.516125,0.502619,0.693534
-1.08832 , 1.16361 , 4.41215 , 0.179948,-0.979836,-0.0868331
-0.960659 , 1.11727 , 4.29059 , 0.741228,0.665428,-0.0882462
-1.00271 , 1.16696 , 4.55089 , 0.629082,-0.38605,-0.674701
-1.05941 , 1.22887 , 4.86777 , -0.499061,-0.532823,0.683402
-1.01614 , 1.23425 , 4.96065 , -0.267936,-0.508062,0.818586
-0.876814 , 1.17933 , 4.79646 , -0.592232,0.804551,-0.0442619
-0.743318 , 1.12406 , 4.62872 , -0.554689,-0.706322,-0.439807
-0.689425 , 1.12132 , 4.67992 , -0.307838,-0.58986,0.746526
-0.536425 , 1.04688 , 4.41261 , -0.974897,0.159471,0.155388
-0.504933 , 1.05743 , 4.52647 , -0.278944,-0.945253,0.169373
-0.484936 , 1.08044 , 4.69678 , 0.155893,0.917717,-0.365366
-0.809525 , 1.39567 , 6.26473 , 0.589402,-0.804537,0.0729795
-0.764761 , 1.42195 , 6.49053 , 0.787329,0.567464,-0.241035
-0.68378 , 1.41982 , 6.58215 , -0.679078,-0.374052,-0.631616
-0.315753 , 1.12672 , 5.21843 , -0.267022,0.458403,0.847682
-0.241465 , 1.11176 , 5.22498 , -0.110989,-0.00149758,0.993821
-0.129244 , 1.05249 , 4.99726 , -0.510933,0.481988,-0.711783
-0.266338 , 1.31212 , 6.46037 , -0.50621,-0.177964,-0.843849
-0.190521 , 1.32171 , 6.62256 , 0.659786,-0.337884,0.671206
-0.083733 , 1.28735 , 6.54905 , -0.927835,0.242068,-0.283771
-2.99361 , 0.771721 , -1.36631 , -0.0969432,0.0930884,0.990927
-3.14794 , 0.806677 , -1.3822 , -0.0829157,0.104623,0.99105
-3.31201 , 0.843938 , -1.39863 , 0.0803087,-0.135865,-0.987467
-3.47767 , 0.881605 , -1.40992 , -0.0747512,0.159824,0.984311
-3.66131 , 0.923741 , -1.42623 , -0.0615462,0.183346,0.98112
-3.89027 , 0.974255 , -1.46137 , -0.0869116,0.184026,0.979071
-4.121 , 1.0257 , -1.48905 , -0.0821101,0.180071,0.980221
-4.37938 , 1.08372 , -1.52315 , -0.0739496,0.193863,0.978238
-4.64058 , 1.14316 , -1.54874 , -0.0684915,0.191711,0.979059
-4.95722 , 1.21277 , -1.59154 , -0.097803,0.197801,0.975351
-5.33028 , 1.29442 , -1.64877 , -0.0955373,0.176439,0.979664
-5.71568 , 1.38084 , -1.69772 , -0.0713301,0.161926,0.984222
-6.11276 , 1.47101 , -1.73749 , -0.0783676,0.16673,0.982883
-6.60395 , 1.5797 , -1.80048 , -0.0879513,0.167315,0.981973
-7.15327 , 1.7029 , -1.868 , -0.0852281,0.165468,0.982526
-7.80027 , 1.84725 , -1.95034 , -0.0892775,0.166459,0.981998
-8.55294 , 2.01515 , -2.04536 , -0.0888757,0.159522,0.983186
-9.48813 , 2.2218 , -2.17168 , -0.0773702,0.158344,0.984348
-10.4298 , 2.43566 , -2.26598 , 0.0719471,-0.153897,-0.985464
-11.6782 , 2.71655 , -2.41368 , 0.0791929,-0.153359,-0.984992
-13.1986 , 3.05823 , -2.58828 , -0.0772042,0.152495,0.985284
-15.0976 , 3.48579 , -2.80134 , -0.0796574,0.142543,0.986578
-17.397 , 4.00677 , -3.03748 , 0.0891181,-0.148694,-0.984859
-37.8853 , 8.5796 , -5.60646 , -0.0437685,0.0813806,0.995722
-47.205 , 11.1201 , -3.80044 , 0.525351,-0.714073,0.462717
-13.2307 , 3.8278 , 2.33589 , 0.997204,0.0724442,-0.0183108
-11.8027 , 3.49514 , 2.42336 , -0.204688,-0.115219,0.972022
-12.038 , 3.59148 , 2.67764 , 0.262114,0.204803,-0.943055
-11.0244 , 3.35752 , 2.75582 , 0.189166,0.0726343,-0.979255
-10.1179 , 3.14741 , 2.81603 , 0.381835,0.496794,-0.779357
-10.2026 , 3.2009 , 3.02839 , 0.316837,0.475408,-0.820732
-9.26138 , 2.97332 , 3.03572 , -0.315819,-0.600024,0.735003
-9.4732 , 3.06013 , 3.26707 , 0.381835,0.496795,-0.779357
-3.89521 , 1.52681 , 2.1043 , 0.763329,-0.299812,-0.572225
-3.81726 , 1.51862 , 2.16808 , 0.772722,0.36901,0.516461
-3.95209 , 1.56991 , 2.28974 , -0.841763,-0.393692,-0.36938
-4.03813 , 1.60836 , 2.40272 , -0.943116,-0.0103327,-0.332304
-4.29574 , 1.69744 , 2.57505 , 0.137886,-0.0784284,0.987338
-4.06428 , 1.64377 , 2.5929 , 0.164883,-0.877342,0.45065
-5.00297 , 1.93855 , 3.0242 , -0.598575,-0.200236,0.775637
-3.91285 , 1.62667 , 2.72184 , 0.656732,-0.33687,-0.674702
-3.88959 , 1.63388 , 2.80469 , -0.613429,0.103679,0.782915
-3.77579 , 1.61394 , 2.84963 , -0.613429,0.103679,0.782915
-3.77694 , 1.62816 , 2.94214 , 0.729635,-0.674122,-0.114859
-4.08003 , 1.73848 , 3.17772 , -0.382553,-0.490346,0.78308
-3.92777 , 1.7054 , 3.20527 , -0.90633,-0.248849,-0.341526
-4.09241 , 1.77402 , 3.39008 , -0.391719,-0.898511,0.198078
-3.89568 , 1.72654 , 3.3912 , -0.909567,-0.334985,0.245912
-3.92757 , 1.75332 , 3.5126 , 0.567781,0.745843,-0.348342
-4.16405 , 1.8479 , 3.757 , 0.703684,-0.556829,-0.441329
-3.83457 , 1.75484 , 3.67162 , -0.346715,-0.889234,0.298414
-3.68813 , 1.722 , 3.6883 , -0.536414,-0.690064,0.485871
-3.26204 , 1.59214 , 3.51563 , 0.269366,0.961912,0.0465568
-3.24084 , 1.60015 , 3.59989 , 0.269366,0.961912,0.0465568
-3.5848 , 1.73727 , 3.94623 , -0.848375,-0.522797,0.0833224
-4.37496 , 2.03658 , 4.64279 , 0.93869,-0.340752,-0.0524405
-4.4767 , 2.09525 , 4.85982 , -0.892212,-0.0387967,0.449948
-4.42938 , 2.09971 , 4.96831 , 0.699523,-0.0196994,-0.714339
-4.28378 , 2.06944 , 4.99638 , 0.233648,0.131665,-0.963366
-4.04488 , 2.00258 , 4.93923 , -0.700281,-0.652028,0.290632
-4.02439 , 2.01761 , 5.06657 , -0.618907,-0.295628,0.727708
-4.36914 , 2.17267 , 5.53399 , -0.862913,-0.333144,0.379996
-3.02896 , 1.67533 , 4.41833 , -0.832125,-0.527166,-0.172232
-2.7432 , 1.58091 , 4.25897 , -0.256979,0.884537,-0.389302
-2.66509 , 1.56845 , 4.29731 , 0.254644,0.750098,0.610336
-2.94255 , 1.70041 , 4.71349 , -0.756898,-0.651631,-0.0498277
-3.10905 , 1.79023 , 5.03378 , 0.474524,0.643426,-0.600691
-3.03194 , 1.78018 , 5.09267 , 0.474524,0.643426,-0.600691
-2.87191 , 1.73565 , 5.05401 , -0.509622,-0.753366,0.415601
-1.9447 , 1.35625 , 4.05908 , -0.680923,0.0748196,0.728523
-1.25509 , 1.06997 , 3.29 , 0.484223,0.340788,0.805848
-1.38934 , 1.14325 , 3.55382 , -0.626721,-0.678491,-0.383238
-1.32758 , 1.13027 , 3.56506 , -0.54149,-0.837082,0.0779896
-1.28238 , 1.12501 , 3.5988 , -0.330654,-0.707905,0.62413
-1.21594 , 1.10871 , 3.59962 , 0.117535,0.827346,-0.549257
-1.17534 , 1.10484 , 3.6396 , 0.262705,0.95518,-0.136447
-1.1347 , 1.10081 , 3.6789 , 0.214236,-0.233227,-0.948529
-1.19228 , 1.14707 , 3.88382 , 0.192448,0.976488,-0.097137
-0.998088 , 1.06573 , 3.66287 , -0.147239,0.612736,0.77645
-0.877204 , 1.01965 , 3.55472 , 0.199926,-0.0873944,0.975906
-1.11202 , 1.16315 , 4.11302 , -0.496292,-0.722092,0.481951
-1.03647 , 1.14272 , 4.09973 , 0.685822,0.68554,-0.244302
-1.10846 , 1.20526 , 4.39128 , -0.480426,0.876777,-0.0212923
-1.07446 , 1.20989 , 4.47448 , 0.551026,-0.59164,-0.5885
-1.01428 , 1.20004 , 4.50401 , -0.574811,0.557091,0.599367
-0.97176 , 1.2006 , 4.57777 , 0.647514,-0.264419,-0.714709
-0.914073 , 1.19285 , 4.61445 , -0.62517,0.474718,0.61952
-0.875005 , 1.19677 , 4.70538 , -0.388108,0.815335,0.429653
-0.80132 , 1.17926 , 4.70393 , -0.521538,-0.808543,-0.272501
-0.724885 , 1.15885 , 4.69183 , 0.443564,0.340703,0.828958
-0.570008 , 1.08023 , 4.42684 , -0.966572,0.0334815,0.254201
-0.494541 , 1.05625 , 4.39131 , -0.340544,-0.341961,0.875838
-0.541186 , 1.12894 , 4.78741 , -0.382259,-0.710706,0.590573
-0.470868 , 1.1118 , 4.78881 , -0.00217993,-0.854596,0.519288
-0.788815 , 1.43807 , 6.39763 , -0.415098,-0.906848,-0.0729453
-0.686908 , 1.41123 , 6.38496 , 0.716929,0.696393,-0.0323906
-0.342751 , 1.14099 , 5.17897 , -0.267022,0.458403,0.847682
-0.278858 , 1.13455 , 5.23442 , -0.163822,0.0891714,0.982451
-0.181601 , 1.09097 , 5.10503 , 0.779148,-0.346788,0.522176
-0.0828027 , 1.0406 , 4.93464 , 0.0772675,-0.630122,0.772642
-0.208268 , 1.29765 , 6.3992 , -0.639639,-0.15021,-0.753856
-0.136457 , 1.31 , 6.59017 , -0.372291,0.281455,-0.884411
-0.0517363 , 1.30999 , 6.72178 , -0.706597,-0.672914,0.21888
-2.73121 , 0.818734 , -1.34288 , -0.094916,0.158099,0.982851
-2.84981 , 0.851111 , -1.34371 , 0.0820324,-0.13534,-0.987397
-3.01833 , 0.892797 , -1.37452 , -0.0981821,0.149803,0.983829
-3.17164 , 0.932994 , -1.38927 , -0.0847433,0.123813,0.98868
-3.35129 , 0.978474 , -1.41508 , 0.0885875,-0.145384,-0.985401
-3.55018 , 1.0278 , -1.44535 , -0.0691963,0.173506,0.982399
-3.7505 , 1.07878 , -1.46933 , -0.0824619,0.183248,0.979602
-3.96991 , 1.13483 , -1.49679 , -0.0872168,0.171083,0.981389
-4.22614 , 1.19965 , -1.53607 , 0.0930449,-0.171465,-0.980787
-4.48421 , 1.26565 , -1.56681 , -0.0673216,0.182376,0.980921
-4.77103 , 1.33881 , -1.60244 , -0.0891576,0.185768,0.97854
-5.11296 , 1.42444 , -1.65393 , -0.0911545,0.169751,0.981262
-5.45865 , 1.51331 , -1.69431 , -0.0817694,0.163499,0.983149
-5.8422 , 1.61077 , -1.73852 , -0.0743576,0.16209,0.983971
-6.29132 , 1.7258 , -1.79662 , -0.088565,0.163245,0.982602
-6.80794 , 1.85656 , -1.86464 , -0.0875661,0.16176,0.982937
-7.40138 , 2.00739 , -1.94292 , -0.0893745,0.163498,0.982487
-8.08173 , 2.17997 , -2.03032 , -0.0900623,0.159245,0.983123
-8.91524 , 2.39123 , -2.14465 , -0.089622,0.151558,0.984377
-9.81856 , 2.62251 , -2.25092 , -0.07148,0.151963,0.985798
-10.905 , 2.89992 , -2.37899 , -0.0779898,0.153838,0.985014
-12.269 , 3.24858 , -2.54588 , -0.0786092,0.1509,0.985419
-13.9321 , 3.67485 , -2.74159 , -0.0770378,0.147394,0.986073
-16.1054 , 4.23018 , -3.00096 , -0.0828049,0.155483,0.984362
-38.0831 , 9.97412 , -4.81431 , -0.308069,0.000157603,0.951364
-38.17 , 10.102 , -4.12931 , -0.451973,-0.0805946,0.888383
-43.702 , 11.6257 , -4.07292 , 0.349079,-0.73522,0.58103
-44.1766 , 11.8688 , -3.32577 , 0.478986,-0.801306,0.358442
-46.5616 , 12.7433 , -1.87346 , 0.257951,-0.860016,0.440265
-45.7022 , 12.6412 , -0.994084 , 0.209198,-0.967402,0.142722
-45.7272 , 12.7734 , -0.168746 , 0.351752,-0.925434,0.140861
-49.0076 , 13.7943 , 0.631072 , 0.432753,-0.72121,0.540907
-49.3679 , 14.0283 , 1.5211 , -0.0733615,-0.932057,0.354807
-49.0675 , 14.0798 , 2.40739 , 0.19001,-0.636208,0.747754
-46.0972 , 13.3816 , 3.16319 , 0.19001,-0.636208,0.747754
-12.8258 , 4.07457 , 1.88643 , -0.941758,-0.184442,0.2812
-12.8094 , 4.10658 , 2.12629 , -0.941758,-0.184442,0.2812
-12.6459 , 4.09599 , 2.35179 , -0.941758,-0.184442,0.2812
-12.7078 , 4.15107 , 2.59911 , 0.718126,0.383677,-0.580592
-12.8785 , 4.23804 , 2.86514 , -0.648089,-0.0377599,0.760628
-12.0975 , 4.04325 , 2.99107 , -0.210817,-0.221614,0.952073
-10.0977 , 3.47795 , 2.87836 , -0.275382,-0.133984,0.951952
-10.1792 , 3.53314 , 3.09264 , -0.225863,0.0451396,0.973113
-9.51725 , 3.36085 , 3.15434 , 0.381835,0.496794,-0.779357
-3.99458 , 1.68488 , 2.07374 , -0.922923,0.0591094,-0.38042
-3.94545 , 1.68279 , 2.14777 , -0.758255,0.195048,-0.622098
-4.03377 , 1.72333 , 2.25795 , -0.965481,-0.149786,-0.213097
-4.1564 , 1.77531 , 2.38231 , -0.797125,-0.073233,-0.599357
-4.29327 , 1.83403 , 2.51705 , 0.491392,-0.691068,-0.530055
-4.00066 , 1.75317 , 2.51743 , -0.907736,-0.146604,0.393093
-4.07987 , 1.79332 , 2.6366 , -0.257198,0.50144,0.826079
-3.86114 , 1.73555 , 2.64991 , 0.547971,-0.495269,-0.674119
-3.95466 , 1.78097 , 2.77741 , -0.704329,-0.0767004,0.705718
-3.7706 , 1.73303 , 2.79661 , 0.673754,-0.304512,-0.673296
-3.64134 , 1.70312 , 2.83221 , -0.00943229,-0.143798,0.989562
-3.69403 , 1.73472 , 2.94696 , -0.773913,0.561683,-0.292525
-4.1922 , 1.92157 , 3.27788 , -0.237344,0.670772,-0.702661
-3.69673 , 1.76433 , 3.13722 , 0.698509,-0.475853,0.534461
-4.17373 , 1.94798 , 3.48308 , 0.644591,-0.755076,0.119847
-3.94383 , 1.88252 , 3.46751 , 0.836435,0.512614,-0.193913
-4.07301 , 1.94557 , 3.64758 , 0.343245,0.807914,-0.479019
-4.06574 , 1.95982 , 3.7554 , 0.42409,-0.308581,-0.851426
-3.91793 , 1.9227 , 3.77839 , -0.55716,-0.511515,0.65416
-3.97159 , 1.95935 , 3.92646 , 0.375869,-0.391306,-0.840001
-3.72096 , 1.88339 , 3.87492 , 0.610226,0.517122,-0.600174
-3.66912 , 1.88126 , 3.95194 , -0.913832,-0.268504,0.304658
